resource_id,resource_category,resource_date,theoretical_capacity_orders,actual_throughput_orders,downtime_minutes,data_source
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-15,60,17,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-15,30,84,30,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-15,12,161,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-16,240,253,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-16,240,227,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-16,120,83,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-16,40,120,60,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-16,60,206,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-16,30,98,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-16,12,77,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-17,240,253,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-17,240,274,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-17,120,197,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-17,40,143,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-17,60,251,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-17,30,222,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-17,12,192,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-18,240,254,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-18,240,251,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-18,120,217,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-18,40,199,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-18,60,261,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-18,30,269,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-18,12,238,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-19,240,255,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-19,240,254,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-19,120,252,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-19,40,234,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-19,60,267,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-19,30,249,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-19,12,235,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-20,240,234,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-20,240,275,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-20,120,297,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-20,40,253,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-20,60,246,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-20,30,270,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-20,12,258,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-21,240,101,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-21,240,84,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-21,120,214,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-21,40,200,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-21,60,120,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-21,30,213,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-21,12,232,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-22,240,13,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-22,240,8,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-22,120,153,60,SYNTHETIC
RES-pathology-01,pathology,2026-03-22,40,193,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-22,60,16,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-22,30,80,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-22,12,166,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-23,240,254,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-23,240,267,60,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-23,120,88,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-23,40,111,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-23,60,230,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-23,30,90,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-23,12,91,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-24,240,243,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-24,240,269,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-24,120,182,30,SYNTHETIC
RES-pathology-01,pathology,2026-03-24,40,127,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-24,60,257,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-24,30,222,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-24,12,169,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-25,240,246,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-25,240,251,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-25,120,226,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-25,40,215,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-25,60,239,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-25,30,253,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-25,12,224,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-26,240,279,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-26,240,257,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-26,120,251,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-26,40,244,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-26,60,256,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-26,30,254,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-26,12,262,30,SYNTHETIC
RES-hematology-01,hematology,2026-03-27,240,271,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-27,240,253,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-27,120,257,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-27,40,234,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-27,60,260,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-27,30,244,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-27,12,263,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-28,240,86,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-28,240,88,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-28,120,251,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-28,40,255,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-28,60,95,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-28,30,212,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-28,12,207,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-29,240,13,60,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-29,240,10,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-29,120,160,30,SYNTHETIC
RES-pathology-01,pathology,2026-03-29,40,170,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-29,60,19,30,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-29,30,64,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-29,12,147,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-30,240,221,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-30,240,251,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-30,120,84,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-30,40,134,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-30,60,238,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-30,30,125,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-30,12,91,0,SYNTHETIC
RES-hematology-01,hematology,2026-03-31,240,256,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-03-31,240,265,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-03-31,120,171,0,SYNTHETIC
RES-pathology-01,pathology,2026-03-31,40,146,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-03-31,60,249,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-03-31,30,229,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-03-31,12,193,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-01,240,230,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-01,240,249,60,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-01,120,213,90,SYNTHETIC
RES-pathology-01,pathology,2026-04-01,40,197,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-01,60,288,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-01,30,243,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-01,12,227,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-02,240,241,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-02,240,266,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-02,120,239,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-02,40,223,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-02,60,253,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-02,30,250,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-02,12,262,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-03,240,273,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-03,240,251,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-03,120,217,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-03,40,271,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-03,60,252,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-03,30,242,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-03,12,296,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-04,240,86,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-04,240,83,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-04,120,271,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-04,40,245,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-04,60,84,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-04,30,211,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-04,12,229,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-05,240,12,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-05,240,9,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-05,120,151,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-05,40,182,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-05,60,16,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-05,30,88,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-05,12,145,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-06,240,230,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-06,240,255,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-06,120,80,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-06,40,134,60,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-06,60,222,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-06,30,95,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-06,12,82,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-07,240,257,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-07,240,287,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-07,120,173,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-07,40,129,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-07,60,262,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-07,30,237,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-07,12,180,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-08,240,280,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-08,240,235,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-08,120,213,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-08,40,206,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-08,60,262,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-08,30,254,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-08,12,219,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-09,240,259,30,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-09,240,272,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-09,120,250,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-09,40,212,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-09,60,252,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-09,30,257,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-09,12,263,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-10,240,252,60,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-10,240,280,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-10,120,249,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-10,40,244,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-10,60,272,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-10,30,238,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-10,12,236,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-11,240,88,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-11,240,97,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-11,120,239,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-11,40,252,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-11,60,104,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-11,30,195,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-11,12,235,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-12,240,14,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-12,240,10,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-12,120,137,60,SYNTHETIC
RES-pathology-01,pathology,2026-04-12,40,209,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-12,60,12,90,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-12,30,58,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-12,12,142,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-13,240,219,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-13,240,252,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-13,120,94,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-13,40,148,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-13,60,236,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-13,30,89,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-13,12,80,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-14,240,252,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-14,240,282,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-14,120,171,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-14,40,142,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-14,60,275,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-14,30,230,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-14,12,210,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-15,240,258,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-15,240,243,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-15,120,234,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-15,40,200,60,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-15,60,247,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-15,30,227,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-15,12,249,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-16,240,228,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-16,240,272,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-16,120,255,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-16,40,210,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-16,60,277,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-16,30,225,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-16,12,252,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-17,240,265,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-17,240,284,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-17,120,258,60,SYNTHETIC
RES-pathology-01,pathology,2026-04-17,40,238,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-17,60,254,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-17,30,277,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-17,12,269,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-18,240,104,0,SYNTHETIC
RES-biochemistry-01,biochemistry,2026-04-18,240,97,0,SYNTHETIC
RES-microbiology-01,microbiology,2026-04-18,120,246,0,SYNTHETIC
RES-pathology-01,pathology,2026-04-18,40,241,0,SYNTHETIC
RES-cardiac_diagnostics-01,cardiac_diagnostics,2026-04-18,60,107,0,SYNTHETIC
RES-pulmonary_function-01,pulmonary_function,2026-04-18,30,191,0,SYNTHETIC
RES-gi_endoscopy-01,gi_endoscopy,2026-04-18,12,243,0,SYNTHETIC
RES-hematology-01,hematology,2026-04-19,240,13,0,SYNTHETIC
